FORMATION,EASTING_FT,NORTHING_FT,TOP_TVD_FT,AVG_BUILD_RATE_DEG_100FT,AVG_POROSITY_PCT
WCA,400500,405200,8700,0.146,7.24
WCA,400500,405820,8718,0.114,7.01
WCA,400500,406440,8677,0.093,6.72
WCA,400500,407060,8643,0.084,6.51
WCA,400500,407680,8619,0.032,6.77
WCA,400500,408300,8596,0.017,7.02
WCA,400500,408920,8551,-0.019,7.0
WCA,400500,409540,8534,-0.053,7.22
WCA,400500,410160,8516,-0.101,7.22
WCA,400500,410780,8532,-0.145,7.03
WCA,400500,411400,8528,-0.153,6.73
WCA,400500,412020,8561,-0.12,6.97
WCA,400500,412640,8616,-0.088,7.07
WCA,401200,405200,8765,0.224,7.55
WCA,401200,405820,8745,0.195,7.07
WCA,401200,406440,8721,0.175,7.83
WCA,401200,407060,8690,0.162,7.16
WCA,401200,407680,8672,0.135,7.06
WCA,401200,408300,8637,0.097,7.31
WCA,401200,408920,8584,0.03,7.84
WCA,401200,409540,8584,-0.013,7.15
WCA,401200,410160,8551,-0.031,7.35
WCA,401200,410780,8567,-0.033,7.58
WCA,401200,411400,8594,-0.071,7.3
WCA,401200,412020,8608,-0.06,7.1
WCA,401200,412640,8651,-0.03,7.55
WCA,401900,405200,8780,0.279,7.88
WCA,401900,405820,8800,0.264,7.75
WCA,401900,406440,8753,0.235,7.59
WCA,401900,407060,8751,0.233,8.28
WCA,401900,407680,8688,0.15,8.02
WCA,401900,408300,8654,0.11,7.93
WCA,401900,408920,8643,0.082,7.64
WCA,401900,409540,8628,0.063,8.0
WCA,401900,410160,8615,0.035,7.69
WCA,401900,410780,8615,0.011,7.75
WCA,401900,411400,8622,-0.017,8.33
WCA,401900,412020,8649,0.015,7.63
WCA,401900,412640,8688,0.018,7.89
WCA,402600,405200,8827,0.316,8.73
WCA,402600,405820,8810,0.314,8.71
WCA,402600,406440,8800,0.273,8.03
WCA,402600,407060,8770,0.244,8.61
WCA,402600,407680,8740,0.196,8.09
WCA,402600,408300,8706,0.186,8.58
WCA,402600,408920,8653,0.141,8.55
WCA,402600,409540,8658,0.085,8.41
WCA,402600,410160,8637,0.046,8.22
WCA,402600,410780,8628,0.024,8.17
WCA,402600,411400,8654,0.054,8.32
WCA,402600,412020,8697,0.063,8.8
WCA,402600,412640,8731,0.081,8.49
WCA,403300,405200,8852,0.302,8.86
WCA,403300,405820,8845,0.302,8.78
WCA,403300,406440,8822,0.294,8.92
WCA,403300,407060,8797,0.233,8.94
WCA,403300,407680,8755,0.219,9.08
WCA,403300,408300,8721,0.158,8.61
WCA,403300,408920,8690,0.132,8.52
WCA,403300,409540,8656,0.091,8.71
WCA,403300,410160,8659,0.087,8.96
WCA,403300,410780,8655,0.037,9.02
WCA,403300,411400,8686,0.068,8.39
WCA,403300,412020,8720,0.064,8.9
WCA,403300,412640,8727,0.082,8.91
WCA,404000,405200,8861,0.295,8.6
WCA,404000,405820,8850,0.304,8.8
WCA,404000,406440,8835,0.263,8.74
WCA,404000,407060,8796,0.233,8.8
WCA,404000,407680,8751,0.222,9.26
WCA,404000,408300,8708,0.155,8.71
WCA,404000,408920,8678,0.12,9.29
WCA,404000,409540,8656,0.067,8.7
WCA,404000,410160,8652,0.042,9.32
WCA,404000,410780,8671,0.026,9.29
WCA,404000,411400,8673,0.042,9.38
WCA,404000,412020,8699,0.043,9.37
WCA,404000,412640,8741,0.062,8.76
WCA,404700,405200,8827,0.258,9.36
WCA,404700,405820,8824,0.222,9.4
WCA,404700,406440,8806,0.199,9.05
WCA,404700,407060,8774,0.179,8.99
WCA,404700,407680,8736,0.154,8.74
WCA,404700,408300,8711,0.115,9.45
WCA,404700,408920,8678,0.092,8.79
WCA,404700,409540,8645,0.055,9.33
WCA,404700,410160,8642,0.009,8.95
WCA,404700,410780,8644,-0.026,9.34
WCA,404700,411400,8687,-0.014,8.75
WCA,404700,412020,8703,-0.004,8.88
WCA,404700,412640,8727,-0.015,8.74
WCA,405400,405200,8806,0.152,9.35
WCA,405400,405820,8820,0.162,8.97
WCA,405400,406440,8783,0.139,9.26
WCA,405400,407060,8747,0.13,9.22
WCA,405400,407680,8736,0.103,9.01
WCA,405400,408300,8678,0.031,8.78
WCA,405400,408920,8655,0.022,8.72
WCA,405400,409540,8649,-0.038,9.3
WCA,405400,410160,8627,-0.084,8.69
WCA,405400,410780,8629,-0.073,9.25
WCA,405400,411400,8645,-0.076,9.39
WCA,405400,412020,8685,-0.092,8.78
WCA,405400,412640,8727,-0.057,9.25
WCA,406100,405200,8782,0.109,9.13
WCA,406100,405820,8787,0.071,8.75
WCA,406100,406440,8764,0.066,9.18
WCA,406100,407060,8724,0.042,8.93
WCA,406100,407680,8705,0.006,8.93
WCA,406100,408300,8659,-0.045,9.02
WCA,406100,408920,8632,-0.082,8.63
WCA,406100,409540,8598,-0.104,8.74
WCA,406100,410160,8596,-0.115,8.82
