WELL_NAME,PAD,TARGET_FORMATION,MD_FT,EASTING_FT,NORTHING_FT,TVD_FT,INCLINATION_DEG,AZIMUTH_DEG,DOGLEG_SEVERITY_DEG_100FT,BUILD_RATE_DEG_100FT,ROP_FT_HR,WOB_KLB,FRAC_STAGE,PROPPANT_LBS,FLUID_BBL,ISIP_PSI
MID-A1H,Bravo 12,WCA,100,401354.6,406363.4,100.0,0.38,12.0,0.57,0.376,25.1,37.5,,,,
MID-A1H,Bravo 12,WCA,200,401354.7,406364.3,200.0,0.52,12.0,0.29,0.14,41.5,36.1,,,,
MID-A1H,Bravo 12,WCA,300,401354.7,406364.3,300.0,0,12.0,0.71,-0.567,28.9,37.0,,,,
MID-A1H,Bravo 12,WCA,400,401354.7,406364.3,400.0,0,12.0,0.55,-0.292,26.8,19.4,,,,
MID-A1H,Bravo 12,WCA,500,401354.8,406364.4,500.0,0.04,12.0,0.3,0.035,35.8,39.5,,,,
MID-A1H,Bravo 12,WCA,600,401354.8,406364.4,600.0,0,12.0,0.48,-0.305,29.1,19.7,,,,
MID-A1H,Bravo 12,WCA,700,401354.8,406364.5,700.0,0.1,12.0,0.45,0.103,49.4,21.4,,,,
MID-A1H,Bravo 12,WCA,800,401354.8,406364.5,800.0,0,12.0,0.86,-0.596,25.3,38.3,,,,
MID-A1H,Bravo 12,WCA,900,401354.9,406365.0,900.0,0.26,12.0,0.44,0.259,45.8,19.1,,,,
MID-A1H,Bravo 12,WCA,1000,401355.0,406365.5,1000.0,0.31,12.0,0.24,0.048,34.6,35.1,,,,
MID-A1H,Bravo 12,WCA,1100,401355.0,406365.6,1100.0,0.07,12.0,0.44,-0.234,31.3,37.5,,,,
MID-A1H,Bravo 12,WCA,1200,401355.2,406366.6,1200.0,0.56,12.0,0.59,0.492,37.1,29.1,,,,
MID-A1H,Bravo 12,WCA,1300,401355.5,406368.0,1300.0,0.8,12.0,0.31,0.233,36.6,37.3,,,,
MID-A1H,Bravo 12,WCA,1400,401355.7,406368.7,1400.0,0.42,12.0,0.4,-0.382,38.0,38.3,,,,
MID-A1H,Bravo 12,WCA,1500,401355.9,406369.6,1500.0,0.57,12.0,0.25,0.154,47.9,26.2,,,,
MID-A1H,Bravo 12,WCA,1600,401356.1,406370.5,1600.0,0.51,12.0,0.23,-0.055,46.5,27.7,,,,
MID-A1H,Bravo 12,WCA,1700,401356.1,406370.9,1700.0,0.25,12.0,0.33,-0.264,36.3,35.2,,,,
MID-A1H,Bravo 12,WCA,1800,401356.3,406371.8,1800.0,0.48,12.0,0.54,0.231,28.9,38.0,,,,
MID-A1H,Bravo 12,WCA,1900,401356.5,406372.9,1900.0,0.66,12.0,0.25,0.18,30.5,31.7,,,,
MID-A1H,Bravo 12,WCA,2000,401356.8,406373.9,1999.9,0.6,12.0,0.08,-0.062,31.1,24.9,,,,
MID-A1H,Bravo 12,WCA,2100,401356.8,406373.9,2099.9,0,12.0,0.88,-0.726,40.8,36.2,,,,
MID-A1H,Bravo 12,WCA,2200,401356.8,406373.9,2199.9,0,12.0,0.69,-0.413,46.0,21.5,,,,
MID-A1H,Bravo 12,WCA,2300,401356.8,406373.9,2299.9,0,12.0,0.44,-0.305,38.6,29.5,,,,
MID-A1H,Bravo 12,WCA,2400,401356.9,406374.8,2399.9,0.5,12.0,0.64,0.501,39.7,34.3,,,,
MID-A1H,Bravo 12,WCA,2500,401357.2,406376.0,2499.9,0.74,12.0,0.33,0.234,34.0,29.7,,,,
MID-A1H,Bravo 12,WCA,2600,401357.4,406376.8,2599.9,0.45,12.0,0.61,-0.282,49.5,37.1,,,,
MID-A1H,Bravo 12,WCA,2700,401357.6,406378.0,2699.9,0.67,12.0,0.3,0.221,29.4,38.4,,,,
MID-A1H,Bravo 12,WCA,2800,401357.6,406378.0,2799.9,0.0,12.0,0.91,-0.672,26.0,35.6,,,,
MID-A1H,Bravo 12,WCA,2900,401357.6,406378.0,2899.9,0,12.0,0.47,-0.122,28.4,27.4,,,,
MID-A1H,Bravo 12,WCA,3000,401357.7,406378.1,2999.9,0.06,12.0,0.22,0.058,47.8,36.4,,,,
MID-A1H,Bravo 12,WCA,3100,401357.8,406378.8,3099.9,0.44,12.0,0.61,0.379,30.6,39.4,,,,
MID-A1H,Bravo 12,WCA,3200,401358.1,406380.0,3199.9,0.71,12.0,0.37,0.275,39.2,29.2,,,,
MID-A1H,Bravo 12,WCA,3300,401358.1,406380.0,3299.9,0,12.0,0.86,-0.718,38.0,25.2,,,,
MID-A1H,Bravo 12,WCA,3400,401358.2,406380.5,3399.9,0.26,12.0,0.36,0.264,28.0,25.5,,,,
MID-A1H,Bravo 12,WCA,3500,401358.2,406380.5,3499.9,0,12.0,0.72,-0.634,39.0,22.7,,,,
MID-A1H,Bravo 12,WCA,3600,401358.2,406380.5,3599.9,0,12.0,0.37,-0.284,37.5,36.1,,,,
MID-A1H,Bravo 12,WCA,3700,401358.3,406381.3,3699.9,0.46,12.0,0.69,0.464,30.2,29.7,,,,
MID-A1H,Bravo 12,WCA,3800,401358.6,406382.5,3799.9,0.74,12.0,0.47,0.28,39.9,29.9,,,,
MID-A1H,Bravo 12,WCA,3900,401358.9,406383.8,3899.9,0.76,12.0,0.16,0.014,32.2,35.5,,,,
MID-A1H,Bravo 12,WCA,4000,401359.0,406384.4,3999.9,0.37,12.0,0.46,-0.393,31.3,19.1,,,,
MID-A1H,Bravo 12,WCA,4100,401359.0,406384.4,4099.9,0,12.0,0.64,-0.366,28.8,38.7,,,,
